name,uploadDate,status,llmSource,riskLevel,npmLink
mongoose-to-json,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/mongoose-to-json
pdfplumber,2025-04-21,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/pdfplumber
sharp-heic,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/sharp-heic
highcharts-mouse-wheel-zoom,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/highcharts-mouse-wheel-zoom
neo4j-apoc,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/neo4j-apoc
neo4j-apoc-procedures,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/neo4j-apoc-procedures
data-memocombinators,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/data-memocombinators
fasteners,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/fasteners
phpseclib,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/phpseclib
healenium-web,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/healenium-web
healenium-webdriverio,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/healenium-webdriverio
flutter_cupertino_date_picker,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/flutter_cupertino_date_picker
some-error-logging-package,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/some-error-logging-package
vite-plugin-monorepo,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/vite-plugin-monorepo
lme4,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/lme4
unreal-engine-material-editor,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/unreal-engine-material-editor
scatterpie,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/scatterpie
dyalog-ride,2025-03-28,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/dyalog-ride
make-plural-rules,2025-04-21,Proof-of-Concept,Gemini-2.0-Flash-001,No,https://www.npmjs.com/package/make-plural-rules
vite-plugin-remove,2025-04-21,Proof-of-Concept,Gemini-2.0-Flash-001,No,https://www.npmjs.com/package/vite-plugin-remove
vue-highcharts-official,2025-04-21,Proof-of-Concept,Gemini-2.0-Flash-001,No,https://www.npmjs.com/package/vue-highcharts-official
istanbul-reporter-lcov,2025-04-21,Proof-of-Concept,Gemini-2.0-Flash-001,No,https://www.npmjs.com/package/istanbul-reporter-lcov
vite-plugin-node-modules-polyfills,2025-04-21,Proof-of-Concept,Gemini-2.0-Flash-001,No,https://www.npmjs.com/package/vite-plugin-node-modules-polyfills
compiletest_rs,2025-04-21,Proof-of-Concept,Grok-3-Preview-02-24,No,https://www.npmjs.com/package/compiletest_rs
jetty-quic,2025-04-21,Proof-of-Concept,Grok-3-Preview-02-24,No,https://www.npmjs.com/package/jetty-quic
haml-jst-loader,2025-04-21,Proof-of-Concept,Grok-3-Preview-02-24,No,https://www.npmjs.com/package/haml-jst-loader
your-published-package,2025-04-21,Proof-of-Concept,Grok-3-Preview-02-24,No,https://www.npmjs.com/package/your-published-package
kidding,2025-04-21,Proof-of-Concept,Grok-3-Preview-02-24,No,https://www.npmjs.com/package/kidding
psalm,2025-04-21,Proof-of-Concept,Grok-3-Preview-02-24,No,https://www.npmjs.com/package/psalm
shaderc,2025-04-21,Proof-of-Concept,Grok-3-Preview-02-24,No,https://www.npmjs.com/package/shaderc
cordova-plugin-permissions,2025-04-21,Proof-of-Concept,Grok-3-Preview-02-24,No,https://www.npmjs.com/package/cordova-plugin-permissions
typescript-plugin-some-plugin,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/typescript-plugin-some-plugin
babel-plugin-some-plugin,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/babel-plugin-some-plugin
jest-coverage-merge,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/jest-coverage-merge
josson,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/josson
scheme-latin-1-transcoder,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/scheme-latin-1-transcoder
wdio-healenium-service,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/wdio-healenium-service
fanotify,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/fanotify
logdna-agent,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/logdna-agent
hungarian-algorithm,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/hungarian-algorithm
sails-mssql-adapter,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/sails-mssql-adapter
jna,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/jna
meteor-roles,2025-04-21,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/meteor-roles
seaborn,2025-04-21,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/seaborn
swagger2-postman2,2025-04-21,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/swagger2-postman2
mock-arduino,2025-04-21,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/mock-arduino
arduino-mock,2025-04-21,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/arduino-mock
slf4j-api-js,2025-04-21,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/slf4j-api-js
concurrent-hashmap,2025-04-21,Proof-of-Concept,DeepSeek-V3-03-24,No,https://www.npmjs.com/package/concurrent-hashmap
reactotron-mobx,2025-04-21,Proof-of-Concept,Gemini-2.0-Flash-001,No,https://www.npmjs.com/package/reactotron-mobx
jade-browserify,2025-04-21,Proof-of-Concept,Gemini-2.0-Flash-001,No,https://www.npmjs.com/package/jade-browserify
flashcanvas,2025-04-21,Proof-of-Concept,Grok-3-Preview-02-24,No,https://www.npmjs.com/package/flashcanvas
beautifulsoup4,2025-04-21,Proof-of-Concept,Grok-3-Preview-02-24,No,https://www.npmjs.com/package/beautifulsoup4
apache-httpclient,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/apache-httpclient
directx,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/directx
slimdx,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/slimdx
opentk,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/opentk
windows-api-codec-pack,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/windows-api-codec-pack
sharpgl,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/sharpgl
commons-net,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/commons-net
vue-ssr-devtools,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/vue-ssr-devtools
platformio,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/platformio
arduinounit,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/arduinounit
vim-refactor,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/vim-refactor
dayjs-plugin-duration,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/dayjs-plugin-duration
node-jwt-simple,2025-04-21,Proof-of-Concept,ChatGPT-4o-Lastest(2025-03-26),No,https://www.npmjs.com/package/node-jwt-simple
next-refresh-token,2024-12-29,Proof-of-Concept,llama3.1:8b,No,https://www.npmjs.com/package/next-refresh-token
openssl-node,2024-12-29,Proof-of-Concept,llama3.1:8b,No,https://www.npmjs.com/package/openssl-node
serve-static-corell,2024-12-29,Proof-of-Concept,llama3.1:8b,No,https://www.npmjs.com/package/serve-static-corell
vite-plugin-esm-import-extension,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/vite-plugin-esm-import-extension
nsubstitute,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/nsubstitute
hibernate-validator,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/hibernate-validator
expo-firestore-upload,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/expo-firestore-upload
expo-blob-util,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/expo-blob-util
vite-plugin-legacy-umd,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/vite-plugin-legacy-umd
vnc-viewer,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/vnc-viewer
iokit,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/iokit
core-foundation,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/core-foundation
apache-iotdb,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/apache-iotdb
ml-preprocessing,2025/5/13,Proof-of-Concept,GPT-4.1-2025-04-14,No,https://www.npmjs.com/package/ml-preprocessing
listenv,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/listenv
dplyr,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/dplyr
lubridate,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/lubridate
uvicorn,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/uvicorn
google-auth-httplib2,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/google-auth-httplib2
scikeras,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/scikeras
pyserial,2025/5/25,Proof-of-Concept,Gemini-2.5-Flash-Preview-04-17,No,https://www.npmjs.com/package/pyserial
espresso-idling-resource,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/espresso-idling-resource
undetected-chromedriver,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/undetected-chromedriver
jasmine-marbers,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/jasmine-marbers
apple-appstore-server-library,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/apple-appstore-server-library
pyiceberg,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/pyiceberg
iceberg-api,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/iceberg-api
pydantic,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/pydantic
sails-mongo-ng,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/sails-mongo-ng
ohhttpstubs,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/ohhttpstubs
chromecast-caf-receiver,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/chromecast-caf-receiver
gunicorn,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/gunicorn
boost-iterator,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/boost-iterator
boost-static-assert,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/boost-static-assert
scrapy-user-agents,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/scrapy-user-agents
karma-spec-filter,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/karma-spec-filter
svelte-local-storage,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/svelte-local-storage
office-addin-debugger,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/office-addin-debugger
throttling-proxy,2025/5/25,Proof-of-Concept,DeepSeek-R1,No,https://www.npmjs.com/package/throttling-proxy
rlang,2025/5/25,Proof-of-Concept,Qwen3-235B-A22B,No,https://www.npmjs.com/package/rlang
csvtool,2025/5/25,Proof-of-Concept,Qwen3-235B-A22B,No,https://www.npmjs.com/package/csvtool
